,조사일,브랜드,생필품,식품,축산물
0,2020-1,(주)부산경남유통,9212.186046511628,3959.6135922330095,4436.0
1,2020-1,CU,6646.875,3386.466165413534,
2,2020-1,GS25,9758.92857142857,4056.4478764478763,9300.0
3,2020-1,GS수퍼마켓,8838.082980254218,3888.447745324911,8294.726715686274
4,2020-1,농협,9202.994692949203,3783.6338454376164,5728.636363636364
5,2020-1,롯데마트,,1950.8478260869565,5155.80808080808
6,2020-1,롯데백화점,,2292.937984496124,6266.609756097561
7,2020-1,롯데슈퍼,8876.19548751377,4296.133109473706,6221.993331745653
8,2020-1,신세계백화점,7665.901639344263,4214.825581395349,7985.789473684211
9,2020-1,이마트,8620.35990793053,4180.700095057035,6818.038759689923
10,2020-1,현대백화점,9325.279060008394,4381.459090909091,7013.785046728972
11,2020-1,홈플러스,,2025.9920477137177,4006.955223880597
