,조사일,브랜드,생필품,식품,축산물
0,2020-7,CU,6960.606060606061,3717.847222222222,
1,2020-7,GS25,10411.111111111111,4077.0,9300.0
2,2020-7,GS수퍼마켓,8605.235962797107,3967.1088476871264,8271.632195448461
3,2020-7,농협,9328.237951807228,3826.377840024899,5834.75
4,2020-7,롯데마트,,1800.2905405405406,4687.478260869565
5,2020-7,롯데백화점,10872.527472527472,3923.201077199282,8134.615384615385
6,2020-7,롯데슈퍼,8529.803408216505,4379.81756373541,6856.736212532165
7,2020-7,세븐일레븐,6837.768595041322,4022.2026431718064,
8,2020-7,신세계백화점,9122.90502793296,3846.001547987616,8564.622448979591
9,2020-7,이마트,8206.034323806822,4410.5583804143125,8296.784722222223
10,2020-7,현대백화점,9226.511178581286,4391.10699031149,7026.3026315789475
