"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 03월 04일","34.77","36.63","37.42","33.36","47.01M","-7.40%"
"2022년 03월 03일","37.55","40.65","40.87","36.82","45.21M","-6.41%"
"2022년 03월 02일","40.12","37.47","40.88","37.23","41.31M","9.68%"
"2022년 03월 01일","36.58","40.78","41.30","35.35","46.39M","-10.80%"
"2022년 02월 28일","41.01","40.20","42.23","38.56","43.10M","-1.84%"
"2022년 02월 25일","41.78","40.00","41.84","38.16","40.95M","4.61%"
"2022년 02월 24일","39.94","31.81","40.05","31.55","67.84M","11.22%"
"2022년 02월 23일","35.91","40.07","41.30","35.63","52.27M","-6.99%"
"2022년 02월 22일","38.61","38.23","41.56","36.83","49.47M","-2.57%"
"2022년 02월 18일","39.63","41.14","41.35","37.77","46.90M","-3.03%"
"2022년 02월 17일","40.87","44.12","44.39","40.67","41.54M","-11.34%"
"2022년 02월 16일","46.10","44.07","46.50","43.04","34.95M","0.20%"
"2022년 02월 15일","46.01","41.90","46.29","41.67","39.85M","16.22%"
"2022년 02월 14일","39.59","39.75","41.85","37.86","41.06M","0.13%"
"2022년 02월 11일","39.54","46.56","47.65","38.42","51.21M","-14.82%"
"2022년 02월 10일","46.42","47.58","52.21","45.58","50.99M","-9.02%"
"2022년 02월 09일","51.02","48.43","51.23","46.71","35.13M","9.48%"
"2022년 02월 08일","46.60","42.75","46.88","42.54","33.69M","7.35%"
"2022년 02월 07일","43.41","43.64","45.52","42.86","28.28M","-0.12%"
"2022년 02월 04일","43.46","42.08","44.52","40.37","30.58M","1.95%"
"2022년 02월 03일","42.63","45.58","47.80","42.15","32.24M","-13.60%"
"2022년 02월 02일","49.34","48.47","49.50","46.46","39.96M","7.47%"
"2022년 02월 01일","45.91","45.89","46.10","42.29","37.00M","2.98%"
"2022년 01월 31일","44.58","38.99","44.75","38.30","39.10M","16.06%"
"2022년 01월 28일","38.41","36.37","38.41","33.10","43.95M","5.64%"
"2022년 01월 27일","36.36","43.40","43.45","36.00","49.30M","-13.68%"
"2022년 01월 26일","42.12","43.78","47.10","40.10","45.88M","4.80%"
"2022년 01월 25일","40.19","41.77","43.35","39.38","39.67M","-11.57%"
"2022년 01월 24일","45.45","41.00","45.48","36.62","53.45M","3.98%"
"2022년 01월 21일","43.71","45.22","48.93","43.40","45.83M","-4.96%"
"2022년 01월 20일","45.99","52.12","53.20","45.81","31.90M","-9.50%"
"2022년 01월 19일","50.82","57.48","58.15","50.73","28.25M","-9.22%"
"2022년 01월 18일","55.98","60.91","61.38","55.50","28.96M","-13.18%"
"2022년 01월 14일","64.48","58.76","64.54","58.56","23.88M","7.11%"
"2022년 01월 13일","60.20","67.50","69.18","59.58","28.71M","-6.78%"
"2022년 01월 12일","64.58","64.99","66.40","62.64","19.35M","2.04%"
"2022년 01월 11일","63.29","59.09","63.44","57.88","21.98M","5.48%"
"2022년 01월 10일","60.00","57.34","60.19","53.82","24.91M","0.44%"
"2022년 01월 07일","59.74","65.08","66.05","59.14","22.63M","-8.85%"
"2022년 01월 06일","65.54","64.09","66.39","61.85","19.23M","2.39%"
"2022년 01월 05일","64.01","69.59","71.42","63.94","20.58M","-9.93%"
"2022년 01월 04일","71.07","72.58","74.21","66.04","21.92M","-1.43%"
"2022년 01월 03일","72.10","69.05","72.11","68.39","15.71M","6.01%"
"2021년 12월 31일","68.01","68.70","70.10","67.83","10.15M","-0.51%"
"2021년 12월 30일","68.36","70.50","71.34","67.89","11.08M","-3.72%"
"2021년 12월 29일","71.00","70.42","72.23","69.60","10.67M","0.68%"
"2021년 12월 28일","70.52","74.07","74.07","69.57","14.31M","-3.38%"
"2021년 12월 27일","72.99","68.10","73.00","68.00","15.48M","8.28%"
"2021년 12월 23일","67.41","66.00","68.75","65.92","14.51M","3.10%"
"2021년 12월 22일","65.38","62.47","65.53","61.61","12.94M","2.96%"
"2021년 12월 21일","63.50","61.17","63.69","58.77","20.32M","10.34%"
"2021년 12월 20일","57.55","56.14","58.76","55.47","15.50M","-2.39%"
"2021년 12월 17일","58.96","57.34","61.58","56.86","17.75M","-0.46%"
"2021년 12월 16일","59.23","69.01","69.50","58.02","27.48M","-13.05%"
"2021년 12월 15일","68.12","61.84","68.34","59.24","18.77M","10.73%"
"2021년 12월 14일","61.52","60.00","62.37","58.94","13.09M","-1.32%"
"2021년 12월 13일","62.34","68.02","68.71","62.00","13.41M","-7.78%"
"2021년 12월 10일","67.60","69.46","70.45","65.17","12.33M","2.58%"
"2021년 12월 09일","65.90","69.43","71.59","65.66","14.42M","-6.78%"
"2021년 12월 08일","70.69","70.93","71.20","68.49","12.47M","-1.81%"
"2021년 12월 07일","71.99","66.76","72.52","66.72","21.44M","15.00%"
"2021년 12월 06일","62.60","62.06","63.29","56.78","13.72M","-0.52%"
"2021년 12월 03일","62.93","65.90","67.95","60.70","18.84M","-0.51%"
"2021년 12월 02일","63.25","60.99","64.74","59.69","21.01M","0.14%"
"2021년 12월 01일","63.16","67.75","70.92","63.05","24.89M","-2.33%"
"2021년 11월 30일","64.67","67.62","69.30","62.90","22.25M","-5.47%"
"2021년 11월 29일","68.41","64.11","68.67","63.24","18.35M","11.47%"
"2021년 11월 26일","61.37","63.10","64.98","59.85","14.91M","-8.24%"
"2021년 11월 24일","66.88","62.99","66.90","61.21","14.76M","3.31%"
"2021년 11월 23일","64.74","64.79","66.60","61.37","16.23M","-1.05%"
"2021년 11월 22일","65.43","69.65","72.48","65.24","16.81M","-4.63%"
"2021년 11월 19일","68.61","67.86","69.87","66.88","14.53M","0.93%"
"2021년 11월 18일","67.98","67.87","68.90","66.03","14.10M","5.36%"
"2021년 11월 17일","64.52","66.00","66.13","63.70","11.49M","-2.46%"
"2021년 11월 16일","66.15","62.53","66.42","62.12","12.69M","4.67%"
"2021년 11월 15일","63.20","64.68","64.70","61.29","11.84M","-0.24%"
"2021년 11월 12일","63.35","62.22","64.25","61.17","13.05M","2.77%"
"2021년 11월 11일","61.64","60.72","61.99","59.37","12.83M","6.37%"
"2021년 11월 10일","57.95","59.71","62.49","57.08","17.65M","-8.60%"
"2021년 11월 09일","63.40","65.30","65.62","61.43","16.39M","-0.22%"
"2021년 11월 08일","63.54","62.15","64.70","61.50","15.60M","4.32%"
"2021년 11월 05일","60.91","60.04","62.40","59.21","19.54M","3.10%"
"2021년 11월 04일","59.08","55.27","59.80","54.62","20.54M","10.08%"
"2021년 11월 03일","53.67","52.07","53.81","51.43","11.47M","3.57%"
"2021년 11월 02일","51.82","49.94","51.82","49.94","12.42M","3.72%"
"2021년 11월 01일","49.96","47.92","49.96","47.48","14.65M","4.85%"
"2021년 10월 29일","47.65","45.97","47.65","45.62","12.74M","1.38%"
"2021년 10월 28일","47.00","45.80","47.09","45.60","15.90M","6.60%"
"2021년 10월 27일","44.09","44.12","45.60","43.59","13.08M","-1.94%"
"2021년 10월 26일","44.96","46.09","46.44","44.54","12.07M","-0.22%"
"2021년 10월 25일","45.06","44.60","45.66","44.19","9.71M","2.29%"
"2021년 10월 22일","44.05","44.84","46.23","43.77","12.69M","-3.38%"
"2021년 10월 21일","45.59","43.33","45.71","43.33","10.02M","3.14%"
"2021년 10월 20일","44.20","44.05","44.73","43.64","9.91M","-0.52%"
"2021년 10월 19일","44.43","43.17","44.48","42.64","11.48M","3.66%"
"2021년 10월 18일","42.86","41.04","42.95","40.45","8.50M","2.44%"
"2021년 10월 15일","41.84","42.03","42.28","41.30","10.99M","1.92%"
"2021년 10월 14일","41.05","39.71","41.08","39.36","14.80M","9.03%"
"2021년 10월 13일","37.65","37.70","38.30","37.24","11.66M","1.62%"
"2021년 10월 12일","37.05","39.19","39.31","36.51","19.85M","-3.47%"
"2021년 10월 11일","38.38","38.71","40.38","38.36","9.45M","-2.42%"
"2021년 10월 08일","39.33","40.90","41.07","39.08","10.30M","-2.62%"
"2021년 10월 07일","40.39","40.64","42.02","40.27","13.23M","3.41%"
"2021년 10월 06일","39.06","37.23","39.12","36.93","16.40M","1.06%"
"2021년 10월 05일","38.65","37.60","39.39","37.26","15.19M","4.40%"
"2021년 10월 04일","37.02","39.31","39.46","36.58","20.56M","-7.61%"
"2021년 10월 01일","40.07","40.50","40.70","38.06","16.37M","0.07%"
"2021년 09월 30일","40.04","41.16","41.91","40.01","14.47M","-0.20%"
"2021년 09월 29일","40.12","42.56","42.66","39.78","19.89M","-5.00%"
"2021년 09월 28일","42.23","44.93","45.78","42.05","23.99M","-11.45%"
"2021년 09월 27일","47.69","46.44","48.18","45.57","10.24M","-0.54%"
"2021년 09월 24일","47.95","46.86","48.23","46.78","7.46M","-0.31%"
"2021년 09월 23일","48.10","46.83","48.55","46.44","11.82M","3.98%"
"2021년 09월 22일","46.26","44.46","46.57","44.03","11.09M","6.10%"
"2021년 09월 21일","43.60","44.24","44.50","42.36","9.97M","0.69%"
"2021년 09월 20일","43.30","43.52","44.19","41.17","19.45M","-7.38%"
"2021년 09월 17일","46.75","48.64","48.65","45.97","14.48M","-4.73%"
"2021년 09월 16일","49.07","47.67","49.46","47.03","9.09M","0.99%"
"2021년 09월 15일","48.59","48.01","48.70","46.78","9.32M","1.50%"
"2021년 09월 14일","47.87","48.42","48.95","47.14","10.13M","0.00%"
"2021년 09월 13일","47.87","47.80","48.17","45.93","11.31M","2.75%"
"2021년 09월 10일","46.59","46.64","48.63","46.51","14.40M","2.28%"
"2021년 09월 09일","45.55","44.94","46.25","44.91","8.64M","1.33%"
"2021년 09월 08일","44.95","46.10","46.29","43.78","11.79M","-3.89%"
"2021년 09월 07일","46.77","47.37","47.37","45.94","5.67M","-0.99%"
"2021년 09월 03일","47.24","46.14","47.85","45.96","7.38M","2.03%"
"2021년 09월 02일","46.30","46.50","46.72","45.71","7.19M","0.74%"
"2021년 09월 01일","45.96","47.29","47.29","45.83","7.25M","-1.27%"
"2021년 08월 31일","46.55","47.88","47.88","45.40","9.62M","-2.49%"
"2021년 08월 30일","47.74","48.00","48.98","47.13","10.29M","0.93%"
"2021년 08월 27일","47.30","44.85","47.50","44.69","12.36M","5.86%"
"2021년 08월 26일","44.68","44.47","45.31","43.72","9.53M","-0.22%"
"2021년 08월 25일","44.78","44.20","45.65","44.20","10.13M","2.40%"
"2021년 08월 24일","43.73","44.00","44.42","43.40","8.56M","0.09%"
"2021년 08월 23일","43.69","41.50","43.79","41.50","12.23M","8.06%"
"2021년 08월 20일","40.43","39.96","40.75","39.01","10.73M","2.02%"
"2021년 08월 19일","39.63","38.18","40.25","37.19","14.86M","2.51%"
"2021년 08월 18일","38.66","40.14","40.95","38.59","10.76M","-4.45%"
"2021년 08월 17일","40.46","41.87","41.87","39.35","13.98M","-5.93%"
"2021년 08월 16일","43.01","42.97","43.40","42.01","6.66M","-1.08%"
"2021년 08월 13일","43.48","42.50","43.60","42.28","7.66M","2.02%"
"2021년 08월 12일","42.62","43.50","43.50","41.56","9.76M","-3.51%"
"2021년 08월 11일","44.17","45.05","45.05","42.44","10.02M","-0.63%"
"2021년 08월 10일","44.45","46.33","46.57","43.53","9.99M","-3.68%"
"2021년 08월 09일","46.15","46.95","47.27","45.55","5.94M","-1.03%"
"2021년 08월 08일","46.63","46.63","46.63","46.63","-","0.00%"
"2021년 08월 07일","46.63","46.63","46.63","46.63","-","0.00%"
"2021년 08월 06일","46.63","46.41","47.27","46.20","6.20M","-1.14%"
"2021년 08월 05일","47.17","48.17","48.19","46.45","8.58M","-0.92%"
"2021년 08월 04일","47.61","46.30","48.14","46.26","13.77M","3.57%"
"2021년 08월 03일","45.97","45.30","45.97","43.62","10.80M","1.68%"
"2021년 08월 02일","45.21","45.25","46.89","44.89","17.02M","1.85%"
"2021년 07월 30일","44.39","42.19","44.50","42.07","13.60M","2.16%"
"2021년 07월 29일","43.45","41.29","43.68","41.29","15.32M","5.51%"
"2021년 07월 28일","41.18","39.60","41.50","39.07","12.98M","5.19%"
"2021년 07월 27일","39.15","40.83","40.85","36.72","17.92M","-5.55%"
"2021년 07월 26일","41.45","40.71","41.78","40.62","7.70M","-0.24%"
"2021년 07월 23일","41.55","41.29","41.61","39.95","8.74M","1.99%"
"2021년 07월 22일","40.74","40.90","41.62","39.90","8.15M","-2.65%"
"2021년 07월 21일","41.85","38.67","41.85","38.60","12.60M","9.15%"
"2021년 07월 20일","38.34","37.24","39.08","35.85","12.49M","4.07%"
"2021년 07월 19일","36.84","35.21","36.93","34.71","17.53M","0.22%"
"2021년 07월 16일","36.76","40.03","40.45","36.59","14.43M","-6.75%"
"2021년 07월 15일","39.42","41.69","41.69","38.58","14.97M","-6.50%"
"2021년 07월 14일","42.16","43.75","44.79","41.88","15.36M","-1.08%"
"2021년 07월 13일","42.62","42.76","43.31","42.11","9.29M","-1.64%"
"2021년 07월 12일","43.33","42.17","43.33","41.82","9.02M","3.73%"
"2021년 07월 09일","41.77","40.18","41.94","39.25","9.80M","5.00%"
"2021년 07월 08일","39.78","38.55","40.36","37.77","14.76M","-3.54%"
"2021년 07월 07일","41.24","43.88","43.91","40.70","10.62M","-4.18%"
"2021년 07월 06일","43.04","43.65","44.10","41.36","10.02M","-0.65%"
"2021년 07월 05일","43.32","43.32","43.32","43.32","-","0.00%"
"2021년 07월 04일","43.32","43.32","43.32","43.32","-","0.00%"
"2021년 07월 03일","43.32","43.32","43.32","43.32","-","0.00%"
"2021년 07월 02일","43.32","43.57","43.70","42.25","10.93M","1.76%"
"2021년 07월 01일","42.57","44.13","44.35","42.17","11.58M","-4.42%"
"2021년 06월 30일","44.54","44.43","44.72","43.68","9.83M","-0.22%"
"2021년 06월 29일","44.64","43.31","44.69","42.88","13.09M","2.27%"
"2021년 06월 28일","43.65","41.45","44.08","41.45","18.21M","7.35%"
"2021년 06월 25일","40.66","41.17","41.69","40.29","9.24M","-1.02%"
"2021년 06월 24일","41.08","40.00","41.23","39.98","12.72M","5.20%"
"2021년 06월 23일","39.05","38.69","39.62","38.69","8.62M","1.17%"
"2021년 06월 22일","38.60","37.99","38.81","37.44","10.50M","1.26%"
"2021년 06월 21일","38.12","37.55","38.16","36.59","12.72M","2.14%"
"2021년 06월 18일","37.32","39.20","39.58","36.77","21.35M","-7.42%"
"2021년 06월 17일","40.31","38.69","41.17","38.65","18.47M","2.88%"
"2021년 06월 16일","39.18","40.49","40.89","38.07","18.09M","-2.15%"
"2021년 06월 15일","40.04","40.80","41.60","39.74","13.30M","-2.74%"
"2021년 06월 14일","41.17","39.81","41.17","39.06","18.51M","4.25%"
"2021년 06월 11일","39.49","39.05","39.49","38.57","7.97M","1.15%"
"2021년 06월 10일","39.04","37.80","39.37","37.52","17.60M","3.55%"
"2021년 06월 09일","37.70","38.56","38.89","37.62","11.72M","-1.23%"
"2021년 06월 08일","38.17","39.80","39.97","37.30","13.48M","-1.90%"
"2021년 06월 07일","38.91","39.26","39.44","38.15","11.45M","-2.09%"
"2021년 06월 04일","39.74","38.08","39.99","38.05","15.96M","7.06%"
"2021년 06월 03일","37.12","37.83","38.28","36.52","16.95M","-5.28%"
"2021년 06월 02일","39.19","38.27","39.58","37.91","12.37M","2.22%"
"2021년 06월 01일","38.34","39.52","40.54","37.74","18.16M","-1.13%"
"2021년 05월 28일","38.78","38.07","39.27","37.88","15.89M","2.43%"
"2021년 05월 27일","37.86","36.88","38.26","36.71","16.45M","1.83%"
"2021년 05월 26일","37.18","37.03","37.68","36.19","13.44M","0.65%"
"2021년 05월 25일","36.94","37.33","37.75","36.24","19.47M","1.12%"
"2021년 05월 24일","36.53","35.00","37.14","34.91","21.58M","7.00%"
"2021년 05월 21일","34.14","35.30","35.34","33.81","25.10M","-1.44%"
"2021년 05월 20일","34.64","32.75","34.98","32.67","28.59M","8.08%"
"2021년 05월 19일","32.05","28.46","32.17","28.22","29.21M","5.81%"
"2021년 05월 18일","30.29","31.71","32.08","30.22","15.26M","-2.60%"
"2021년 05월 17일","31.10","30.98","31.10","29.43","19.22M","-2.60%"
"2021년 05월 14일","31.93","30.49","32.68","29.58","21.88M","8.86%"
"2021년 05월 13일","29.33","29.53","30.50","28.30","25.52M","4.27%"
"2021년 05월 12일","28.13","30.10","30.56","27.81","34.05M","-12.39%"
"2021년 05월 11일","32.11","29.02","32.31","28.69","29.95M","0.56%"
"2021년 05월 10일","31.93","36.00","36.00","31.88","25.44M","-13.54%"
"2021년 05월 07일","36.93","36.51","37.55","35.91","16.78M","4.32%"
"2021년 05월 06일","35.40","34.20","35.40","33.16","15.39M","2.46%"
"2021년 05월 05일","34.55","35.07","35.79","33.75","16.03M","1.71%"
"2021년 05월 04일","33.97","34.41","34.45","32.00","24.43M","-4.61%"
"2021년 05월 03일","35.61","37.72","37.79","35.08","13.90M","-3.50%"
"2021년 04월 30일","36.90","38.35","39.17","36.56","19.39M","-8.46%"
"2021년 04월 29일","40.31","41.20","41.22","38.48","14.81M","2.26%"
"2021년 04월 28일","39.42","40.68","40.69","39.31","12.75M","-4.64%"
"2021년 04월 27일","41.34","42.78","42.91","40.95","12.56M","-2.06%"
"2021년 04월 26일","42.21","40.09","42.45","40.00","13.53M","5.13%"
"2021년 04월 23일","40.15","38.32","40.57","38.30","13.25M","5.71%"
"2021년 04월 22일","37.98","40.37","40.61","37.27","20.96M","-6.80%"
"2021년 04월 21일","40.75","37.93","40.77","37.34","15.16M","8.06%"
"2021년 04월 20일","37.71","39.01","39.53","37.04","13.89M","-4.77%"
"2021년 04월 19일","39.60","41.77","42.29","38.25","20.27M","-7.37%"
"2021년 04월 16일","42.75","43.51","43.64","42.48","11.02M","-1.66%"
"2021년 04월 15일","43.47","42.35","43.66","41.62","13.64M","5.33%"
"2021년 04월 14일","41.27","42.39","43.47","40.63","12.84M","-3.33%"
"2021년 04월 13일","42.69","44.00","44.13","41.57","14.06M","-0.93%"
"2021년 04월 12일","43.09","43.72","43.79","41.80","14.93M","-3.12%"
"2021년 04월 09일","44.48","43.83","44.50","43.13","10.75M","-0.69%"
"2021년 04월 08일","44.79","44.75","45.00","43.60","12.96M","3.25%"
"2021년 04월 07일","43.38","43.99","44.00","42.34","12.42M","0.00%"
"2021년 04월 06일","43.38","44.12","44.97","42.07","17.96M","-3.60%"
"2021년 04월 05일","45.00","44.52","45.30","42.91","26.45M","6.11%"
"2021년 04월 01일","42.41","40.05","42.44","40.05","27.80M","10.99%"
"2021년 03월 31일","38.21","36.43","38.98","36.35","25.36M","7.57%"
"2021년 03월 30일","35.52","35.12","35.78","34.28","17.93M","-0.75%"
"2021년 03월 29일","35.79","36.38","36.91","34.50","28.42M","-5.04%"
"2021년 03월 26일","37.69","32.81","37.74","32.71","35.67M","14.87%"
"2021년 03월 25일","32.81","30.93","33.18","30.10","30.29M","0.68%"
"2021년 03월 24일","32.59","35.63","36.13","32.55","26.20M","-4.23%"
"2021년 03월 23일","34.03","37.37","37.50","33.51","26.95M","-8.03%"
"2021년 03월 22일","37.00","35.94","38.20","35.62","23.76M","6.47%"
"2021년 03월 19일","34.75","34.01","35.65","32.38","20.61M","3.09%"
"2021년 03월 18일","33.71","36.76","36.92","33.45","25.85M","-12.26%"
"2021년 03월 17일","38.42","35.28","39.15","34.51","21.74M","3.89%"
"2021년 03월 16일","36.98","36.83","38.59","36.23","27.40M","3.96%"
"2021년 03월 15일","35.57","33.80","35.63","33.18","15.45M","6.43%"
"2021년 03월 12일","33.42","32.52","33.59","31.85","17.05M","-3.05%"
"2021년 03월 11일","34.47","33.30","35.04","32.85","19.09M","12.21%"
"2021년 03월 10일","30.72","34.19","34.19","30.62","19.95M","-5.33%"
"2021년 03월 09일","32.45","30.34","33.08","30.00","19.99M","17.91%"
"2021년 03월 08일","27.52","32.71","32.93","27.50","28.76M","-15.97%"
"2021년 03월 05일","32.75","32.22","32.96","27.73","30.95M","9.24%"
"2021년 03월 04일","29.98","34.83","35.19","28.44","34.29M","-14.37%"
"2021년 03월 03일","35.01","38.90","38.99","34.82","21.75M","-9.18%"
"2021년 03월 02일","38.55","42.94","42.99","38.45","19.69M","-9.42%"
"2021년 03월 01일","42.56","40.59","42.56","39.55","24.58M","9.95%"
"2021년 02월 26일","38.71","37.94","39.70","35.80","29.54M","6.87%"
"2021년 02월 25일","36.22","42.07","43.01","35.70","35.82M","-17.21%"
"2021년 02월 24일","43.75","38.98","43.83","38.07","17.96M","9.43%"
"2021년 02월 23일","39.98","38.50","40.74","35.07","27.03M","-2.03%"
"2021년 02월 22일","40.81","44.00","44.94","40.18","22.42M","-10.90%"
"2021년 02월 19일","45.80","44.64","46.52","44.22","23.60M","7.29%"
"2021년 02월 18일","42.69","42.20","43.27","41.02","15.63M","-3.00%"
"2021년 02월 17일","44.01","45.10","45.74","42.14","19.39M","-5.52%"
"2021년 02월 16일","46.58","47.34","47.85","45.81","14.37M","1.77%"
"2021년 02월 12일","45.77","43.49","46.01","43.00","15.84M","3.65%"
"2021년 02월 11일","44.16","40.88","44.16","40.88","20.78M","10.40%"
"2021년 02월 10일","40.00","40.67","41.31","38.38","15.43M","0.96%"
"2021년 02월 09일","39.62","39.64","40.54","39.04","8.66M","-1.27%"
"2021년 02월 08일","40.13","37.46","40.13","37.45","17.28M","9.29%"
"2021년 02월 05일","36.72","38.33","38.33","36.59","8.24M","-2.18%"
"2021년 02월 04일","37.54","36.34","37.61","35.53","8.40M","2.48%"
"2021년 02월 03일","36.63","39.47","39.80","36.57","14.18M","-6.20%"
"2021년 02월 02일","39.05","39.13","39.16","37.47","10.79M","4.55%"
"2021년 02월 01일","37.35","35.09","37.53","34.64","13.75M","11.83%"
"2021년 01월 29일","33.40","35.34","35.82","32.90","15.26M","-4.92%"
"2021년 01월 28일","35.13","35.00","36.58","34.17","16.11M","6.00%"
"2021년 01월 27일","33.14","36.87","37.05","32.54","25.06M","-15.16%"
"2021년 01월 26일","39.06","41.05","41.05","39.00","7.64M","-4.66%"
"2021년 01월 25일","40.97","42.01","42.14","38.63","12.50M","0.44%"
"2021년 01월 22일","40.79","42.00","42.48","40.77","12.57M","-5.49%"
"2021년 01월 21일","43.16","42.39","43.52","41.10","11.10M","4.45%"
"2021년 01월 20일","41.32","43.16","43.52","40.95","11.22M","-0.84%"
"2021년 01월 19일","41.67","39.51","41.80","39.41","13.35M","10.18%"
"2021년 01월 15일","37.82","40.19","40.31","37.11","16.30M","-6.36%"
"2021년 01월 14일","40.39","39.22","41.61","39.22","11.37M","6.51%"
"2021년 01월 13일","37.92","38.62","38.93","37.40","6.90M","0.26%"
"2021년 01월 12일","37.82","37.67","38.76","36.71","10.50M","1.97%"
"2021년 01월 11일","37.09","34.97","37.87","34.93","9.66M","3.63%"
"2021년 01월 08일","35.79","37.51","37.94","34.63","13.09M","0.08%"
"2021년 01월 07일","35.76","33.65","36.12","33.62","10.44M","11.02%"
"2021년 01월 06일","32.21","31.53","34.16","31.28","16.78M","-0.74%"
"2021년 01월 05일","32.45","30.44","32.51","30.44","8.54M","5.80%"
"2021년 01월 04일","30.67","31.67","33.65","29.93","17.73M","-1.38%"
"2020년 12월 31일","31.10","30.77","31.18","30.18","5.87M","1.07%"
"2020년 12월 30일","30.77","29.67","30.89","29.60","7.81M","5.16%"
"2020년 12월 29일","29.26","29.87","29.87","28.28","7.83M","-0.78%"
"2020년 12월 28일","29.49","30.62","30.73","29.37","7.54M","-0.54%"
"2020년 12월 24일","29.65","29.17","29.66","29.03","2.64M","2.88%"
"2020년 12월 23일","28.82","29.62","29.80","28.78","4.34M","-2.07%"
"2020년 12월 22일","29.43","29.70","29.82","28.75","6.24M","-0.41%"
"2020년 12월 21일","29.55","29.00","29.69","28.17","11.62M","-1.96%"
"2020년 12월 18일","30.14","30.73","30.87","29.56","8.80M","-1.31%"
"2020년 12월 17일","30.54","30.92","30.99","30.18","6.11M","0.53%"
"2020년 12월 16일","30.38","30.71","30.72","29.70","6.37M","-0.20%"
"2020년 12월 15일","30.44","30.28","30.69","29.75","7.41M","4.18%"
"2020년 12월 14일","29.22","28.99","29.68","28.80","10.85M","3.76%"
"2020년 12월 11일","28.16","28.41","28.86","27.27","13.25M","-3.46%"
"2020년 12월 10일","29.17","28.62","29.82","28.13","11.49M","-0.21%"
"2020년 12월 09일","29.23","31.61","32.16","28.62","19.23M","-8.54%"
"2020년 12월 08일","31.96","31.45","32.27","31.04","6.29M","1.27%"
"2020년 12월 07일","31.56","31.74","31.74","30.69","8.89M","1.32%"
"2020년 12월 04일","31.15","29.24","31.19","28.98","10.47M","8.31%"
"2020년 12월 03일","28.76","29.23","29.69","28.63","7.80M","0.14%"
"2020년 12월 02일","28.72","28.22","29.10","28.07","7.21M","0.77%"
"2020년 12월 01일","28.50","27.75","28.93","27.53","12.75M","5.32%"
"2020년 11월 30일","27.06","26.24","27.15","25.27","10.63M","3.76%"
"2020년 11월 27일","26.08","25.72","26.61","25.72","8.94M","3.41%"
"2020년 11월 25일","25.22","25.37","25.86","24.91","6.96M","-1.06%"
"2020년 11월 24일","25.49","25.53","25.57","24.31","9.94M","1.63%"
"2020년 11월 23일","25.08","24.43","25.29","24.08","11.44M","4.50%"
"2020년 11월 20일","24.00","24.37","24.98","23.91","11.36M","-1.60%"
"2020년 11월 19일","24.39","23.23","24.41","22.68","8.22M","4.63%"
"2020년 11월 18일","23.31","23.92","24.45","23.27","10.46M","-2.14%"
"2020년 11월 17일","23.82","24.16","24.22","23.28","9.01M","-2.42%"
"2020년 11월 16일","24.41","23.27","24.45","23.10","12.47M","7.39%"
"2020년 11월 13일","22.73","22.66","23.31","22.28","10.98M","3.70%"
"2020년 11월 12일","21.92","22.84","23.09","21.58","11.98M","-3.86%"
"2020년 11월 11일","22.80","21.53","22.91","21.50","11.78M","10.89%"
"2020년 11월 10일","20.56","22.00","22.29","20.41","16.57M","-9.03%"
"2020년 11월 09일","22.60","24.96","25.60","22.55","16.74M","-3.79%"
"2020년 11월 06일","23.49","22.15","23.68","21.93","15.37M","5.15%"
"2020년 11월 05일","22.34","21.33","22.49","21.33","20.56M","13.17%"
"2020년 11월 04일","19.74","18.96","19.97","18.28","17.59M","10.46%"
"2020년 11월 03일","17.87","17.33","18.26","17.29","12.47M","5.99%"
"2020년 11월 02일","16.86","17.14","17.40","16.42","10.90M","1.57%"
"2020년 10월 30일","16.60","16.90","17.18","16.01","11.21M","-4.87%"
"2020년 10월 29일","17.45","16.27","17.90","16.13","10.75M","7.98%"
"2020년 10월 28일","16.16","17.07","17.09","16.09","15.63M","-9.97%"
"2020년 10월 27일","17.95","18.52","18.67","17.73","7.83M","-0.99%"
"2020년 10월 26일","18.13","18.88","19.13","17.40","13.96M","-6.40%"
"2020년 10월 23일","19.37","19.48","19.48","18.84","6.97M","-1.48%"
"2020년 10월 22일","19.66","19.73","19.92","18.91","9.83M","0.36%"
"2020년 10월 21일","19.59","20.16","20.25","19.55","8.16M","-2.10%"
"2020년 10월 20일","20.01","20.36","20.52","19.84","6.91M","-0.35%"
"2020년 10월 19일","20.08","20.87","21.26","19.85","11.28M","-1.57%"
"2020년 10월 16일","20.40","21.21","21.22","20.36","8.95M","-1.45%"
"2020년 10월 15일","20.70","19.80","20.83","19.58","10.55M","-0.77%"
"2020년 10월 14일","20.86","21.34","21.59","20.49","11.34M","-1.60%"
"2020년 10월 13일","21.20","21.25","21.68","20.83","14.07M","-0.14%"
"2020년 10월 12일","21.23","21.09","21.55","20.80","15.90M","4.38%"
"2020년 10월 09일","20.34","20.02","20.50","19.92","18.61M","5.23%"
"2020년 10월 08일","19.33","19.17","19.43","18.95","11.17M","3.48%"
"2020년 10월 07일","18.68","18.37","18.78","18.35","13.55M","6.02%"
"2020년 10월 06일","17.62","17.86","18.89","17.40","16.64M","-1.67%"
"2020년 10월 05일","17.92","16.79","17.93","16.77","14.75M","-92.68%"
"2020년 10월 04일","244.94","244.94","244.94","244.94","-","0.00%"
